Species,SpeciesID,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30
PSME,PSME51,496,430,626,678,547,513,NA,373,500,451,541,478,596,511,493,414,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME52,683,591,698,745,625,589,NA,438,574,530,628,578,676,601,609,539,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME53,645,583,689,736,690,629,NA,511,634,605,697,670,739,701,689,642,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME54,589,536,637,679,631,591,NA,457,563,541,603,577,644,607,610,564,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME55,645,570,660,682,621,563,NA,421,496,463,547,510,645,594,588,535,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME56,683,593,531,478,451,429,NA,392,394,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME57,456,403,367,345,332,318,NA,293,299,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME58,555,505,457,419,389,370,NA,334,335,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME59,565,479,420,373,356,342,NA,319,322,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME60,484,423,386,365,354,342,NA,324,327,NA,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME61,595,530,482,439,417,402,NA,369,370,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME62,726,635,575,520,497,479,NA,446,447,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME63,612,529,467,421,397,372,NA,345,348,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME64,637,540,459,412,397,380,NA,354,357,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME65,540,457,424,408,397,387,NA,370,372,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME66,587,515,456,404,381,365,NA,335,337,NA,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME67,584,531,494,465,433,396,NA,310,305,303,300,299,300,297,294,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
PSME,PSME68,487,404,373,357,348,335,NA,315,319,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
