Phase,Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
1,PIED,PIED01,1.0,760,156,10,alive
1,PIED,PIED01,1.5,NA,NA,10,alive
1,PIED,PIED01,10.0,616,114,10,alive
1,PIED,PIED01,10.5,NA,NA,10,alive
1,PIED,PIED01,11.0,602,181.7,10,alive
1,PIED,PIED01,11.5,NA,NA,10,alive
1,PIED,PIED01,12.0,518,161.3,10,alive
1,PIED,PIED01,12.5,NA,NA,10,alive
1,PIED,PIED01,13.0,551,131.6,10,alive
1,PIED,PIED01,13.5,NA,NA,10,alive
1,PIED,PIED01,14.0,465,223.2,10,alive
1,PIED,PIED01,14.5,NA,NA,10,alive
1,PIED,PIED01,15.0,517,170,10,alive
1,PIED,PIED01,15.5,NA,NA,10,alive
1,PIED,PIED01,16.0,445,173.4,10,alive
1,PIED,PIED01,16.5,NA,NA,10,alive
1,PIED,PIED01,17.0,449,178.8,10,alive
1,PIED,PIED01,17.5,NA,NA,10,alive
1,PIED,PIED01,18.0,NA,53,NA,alive
1,PIED,PIED01,18.5,NA,NA,10,alive
1,PIED,PIED01,19.0,481,NA,10,alive
1,PIED,PIED01,19.5,NA,NA,10,alive
1,PIED,PIED01,2.0,752,162,10,alive
1,PIED,PIED01,2.5,NA,NA,10,alive
1,PIED,PIED01,20.0,432,NA,10,alive
1,PIED,PIED01,20.5,NA,NA,10,alive
1,PIED,PIED01,21.0,504,200.4,10,alive
1,PIED,PIED01,21.5,NA,NA,NA,alive
1,PIED,PIED01,22.0,422,NA,NA,alive
1,PIED,PIED01,22.5,NA,NA,25,alive
1,PIED,PIED01,3.0,709,229.3,10,alive
1,PIED,PIED01,3.5,NA,NA,10,alive
1,PIED,PIED01,4.0,661,NA,10,alive
1,PIED,PIED01,4.5,NA,NA,10,alive
1,PIED,PIED01,5.0,675,140.5,10,alive
1,PIED,PIED01,5.5,NA,NA,10,alive
1,PIED,PIED01,6.0,629,95.2,10,alive
1,PIED,PIED01,6.5,NA,NA,10,alive
1,PIED,PIED01,7.0,679,93.9,10,alive
1,PIED,PIED01,7.5,NA,NA,10,alive
1,PIED,PIED01,8.0,587,103.9,10,alive
1,PIED,PIED01,8.5,NA,NA,10,alive
1,PIED,PIED01,9.0,657,76.6,10,alive
1,PIED,PIED01,9.5,NA,NA,NA,alive
1,PIED,PIED02,1.0,794,NA,10,alive
1,PIED,PIED02,1.5,NA,NA,25,alive
1,PIED,PIED02,10.0,440,NA,25,alive
1,PIED,PIED02,10.5,NA,NA,25,alive
1,PIED,PIED02,11.0,430,NA,25,alive
1,PIED,PIED02,11.5,NA,NA,25,alive
1,PIED,PIED02,12.0,424,NA,25,alive
1,PIED,PIED02,12.5,NA,NA,50,alive
1,PIED,PIED02,13.0,420,NA,50,alive
1,PIED,PIED02,13.5,NA,NA,50,alive
1,PIED,PIED02,14.0,418,NA,50,alive
1,PIED,PIED02,14.5,NA,NA,75,alive
1,PIED,PIED02,15.0,418,NA,75,dead
1,PIED,PIED02,15.5,NA,NA,90,dead
1,PIED,PIED02,16.0,417,NA,90,dead
1,PIED,PIED02,16.5,NA,NA,75,dead
1,PIED,PIED02,17.0,416,NA,90,dead
1,PIED,PIED02,17.5,NA,NA,NA,dead
1,PIED,PIED02,18.0,NA,NA,NA,dead
1,PIED,PIED02,18.5,NA,NA,NA,dead
1,PIED,PIED02,19.0,NA,NA,NA,dead
1,PIED,PIED02,19.5,NA,NA,NA,dead
1,PIED,PIED02,2.0,763,NA,10,alive
1,PIED,PIED02,2.5,NA,NA,10,alive
1,PIED,PIED02,20.0,NA,NA,NA,dead
