Phase,Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
1,PIFL,PIFL01,1.0,609,NA,10,alive
1,PIFL,PIFL01,1.5,NA,NA,10,alive
1,PIFL,PIFL01,10.0,497,NA,10,alive
1,PIFL,PIFL01,10.5,NA,NA,10,alive
1,PIFL,PIFL01,11.0,495,NA,10,alive
1,PIFL,PIFL01,11.5,NA,NA,10,alive
1,PIFL,PIFL01,12.0,457,NA,10,alive
1,PIFL,PIFL01,12.5,NA,NA,10,alive
1,PIFL,PIFL01,13.0,468,NA,10,alive
1,PIFL,PIFL01,13.5,NA,NA,10,alive
1,PIFL,PIFL01,14.0,428,NA,10,alive
1,PIFL,PIFL01,14.5,NA,NA,10,alive
1,PIFL,PIFL01,15.0,478,NA,10,alive
1,PIFL,PIFL01,15.5,NA,NA,10,alive
1,PIFL,PIFL01,16.0,NA,NA,NA,alive
1,PIFL,PIFL01,16.5,NA,NA,10,alive
1,PIFL,PIFL01,17.0,541,NA,10,alive
1,PIFL,PIFL01,17.5,NA,NA,10,alive
1,PIFL,PIFL01,18.0,495,NA,10,alive
1,PIFL,PIFL01,18.5,NA,NA,10,alive
1,PIFL,PIFL01,19.0,550,NA,10,alive
1,PIFL,PIFL01,19.5,NA,NA,10,alive
1,PIFL,PIFL01,2.0,594,NA,10,alive
1,PIFL,PIFL01,2.5,NA,NA,10,alive
1,PIFL,PIFL01,20.0,484,NA,10,alive
1,PIFL,PIFL01,20.5,NA,NA,10,alive
1,PIFL,PIFL01,21.0,539,NA,10,alive
1,PIFL,PIFL01,21.5,NA,NA,10,alive
1,PIFL,PIFL01,22.0,484,NA,10,alive
1,PIFL,PIFL01,22.5,NA,NA,10,alive
1,PIFL,PIFL01,23.0,527,NA,10,alive
1,PIFL,PIFL01,23.5,NA,NA,10,alive
1,PIFL,PIFL01,24.0,474,NA,10,alive
1,PIFL,PIFL01,24.5,NA,NA,10,alive
1,PIFL,PIFL01,25.0,536,NA,10,alive
1,PIFL,PIFL01,25.5,NA,NA,10,alive
1,PIFL,PIFL01,26.0,488,NA,10,alive
1,PIFL,PIFL01,26.5,NA,NA,10,alive
1,PIFL,PIFL01,27.0,534,NA,10,alive
1,PIFL,PIFL01,27.5,NA,NA,10,alive
1,PIFL,PIFL01,28.0,477,NA,10,alive
1,PIFL,PIFL01,28.5,NA,NA,10,alive
