Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PIEN,PIEN01,1.0,766,NA,10,alive
PIEN,PIEN01,1.5,NA,NA,10,alive
PIEN,PIEN01,10.0,743,NA,10,alive
PIEN,PIEN01,10.5,NA,NA,10,alive
PIEN,PIEN01,11.0,692,NA,10,alive
PIEN,PIEN01,11.5,NA,NA,10,alive
PIEN,PIEN01,12.0,699,NA,10,alive
PIEN,PIEN01,12.5,NA,NA,10,alive
PIEN,PIEN01,13.0,NA,NA,NA,alive
PIEN,PIEN01,13.5,NA,NA,10,alive
PIEN,PIEN01,14.0,737,NA,10,alive
PIEN,PIEN01,14.5,NA,NA,10,alive
PIEN,PIEN01,15.0,688,NA,10,alive
PIEN,PIEN01,15.5,NA,NA,NA,alive
PIEN,PIEN01,16.0,740,NA,10,alive
PIEN,PIEN01,16.5,NA,NA,10,alive
PIEN,PIEN01,17.0,679,NA,25,alive
PIEN,PIEN01,17.5,NA,NA,25,alive
PIEN,PIEN01,18.0,733,NA,25,alive
PIEN,PIEN01,18.5,NA,NA,10,alive
PIEN,PIEN01,19.0,674,NA,25,alive
PIEN,PIEN01,19.5,NA,NA,10,alive
PIEN,PIEN01,2.0,795,NA,10,alive
PIEN,PIEN01,2.5,NA,NA,10,alive
PIEN,PIEN01,20.0,707,NA,10,alive
PIEN,PIEN01,20.5,NA,NA,10,alive
PIEN,PIEN01,21.0,647,NA,10,alive
PIEN,PIEN01,21.5,NA,NA,10,alive
PIEN,PIEN01,22.0,766,NA,10,alive
PIEN,PIEN01,22.5,NA,NA,25,alive
PIEN,PIEN01,23.0,704,NA,25,alive
PIEN,PIEN01,23.5,NA,NA,NA,alive
PIEN,PIEN01,24.0,721,NA,10,alive
PIEN,PIEN01,3.0,764,NA,10,alive
PIEN,PIEN01,3.5,NA,NA,10,alive
PIEN,PIEN01,4.0,789,NA,10,alive
PIEN,PIEN01,4.5,NA,NA,NA,alive
PIEN,PIEN01,5.0,798,NA,10,alive
PIEN,PIEN01,5.5,NA,NA,10,alive
PIEN,PIEN01,6.0,796,NA,10,alive
PIEN,PIEN01,6.5,NA,NA,10,alive
PIEN,PIEN01,7.0,762,NA,10,alive
PIEN,PIEN01,7.5,NA,NA,10,alive
PIEN,PIEN01,8.0,662,NA,10,alive
PIEN,PIEN01,8.5,NA,NA,10,alive
PIEN,PIEN01,9.0,621,NA,10,alive
PIEN,PIEN01,9.5,NA,NA,10,alive
PIEN,PIEN02,1.0,794,NA,10,alive
PIEN,PIEN02,1.5,NA,NA,10,alive
PIEN,PIEN02,10.0,734,NA,10,alive
PIEN,PIEN02,10.5,NA,NA,10,alive
PIEN,PIEN02,11.0,685,NA,10,alive
PIEN,PIEN02,11.5,NA,NA,10,alive
PIEN,PIEN02,12.0,688,NA,10,alive
PIEN,PIEN02,12.5,NA,NA,10,alive
PIEN,PIEN02,13.0,NA,NA,NA,alive
PIEN,PIEN02,13.5,NA,NA,10,alive
PIEN,PIEN02,14.0,720,NA,10,alive
PIEN,PIEN02,14.5,NA,NA,10,alive
PIEN,PIEN02,15.0,662,NA,10,alive
PIEN,PIEN02,15.5,NA,NA,10,alive
PIEN,PIEN02,16.0,735,NA,10,alive
PIEN,PIEN02,16.5,NA,NA,10,alive
PIEN,PIEN02,17.0,674,NA,10,alive
PIEN,PIEN02,17.5,NA,NA,10,alive
PIEN,PIEN02,18.0,733,NA,10,alive
PIEN,PIEN02,18.5,NA,NA,10,alive
PIEN,PIEN02,19.0,688,NA,10,alive
PIEN,PIEN02,19.5,NA,NA,10,alive
PIEN,PIEN02,2.0,797,NA,10,alive
PIEN,PIEN02,2.5,NA,NA,10,alive
PIEN,PIEN02,20.0,733,NA,10,alive
PIEN,PIEN02,20.5,NA,NA,10,alive
PIEN,PIEN02,21.0,670,NA,10,alive
PIEN,PIEN02,21.5,NA,NA,10,alive
PIEN,PIEN02,22.0,741,NA,10,alive
PIEN,PIEN02,22.5,NA,NA,10,alive
PIEN,PIEN02,23.0,673,NA,10,alive
PIEN,PIEN02,23.5,NA,NA,NA,alive
PIEN,PIEN02,24.0,706,NA,10,alive
PIEN,PIEN02,3.0,767,NA,10,alive
PIEN,PIEN02,3.5,NA,NA,10,alive
PIEN,PIEN02,4.0,792,NA,10,alive
PIEN,PIEN02,4.5,NA,NA,NA,alive
PIEN,PIEN02,5.0,793,NA,10,alive
PIEN,PIEN02,5.5,NA,NA,10,alive
PIEN,PIEN02,6.0,777,NA,10,alive
PIEN,PIEN02,6.5,NA,NA,10,alive
PIEN,PIEN02,7.0,744,NA,10,alive
PIEN,PIEN02,7.5,NA,NA,10,alive
PIEN,PIEN02,8.0,658,NA,10,alive
PIEN,PIEN02,8.5,NA,NA,10,alive
PIEN,PIEN02,9.0,617,NA,10,alive
PIEN,PIEN02,9.5,NA,NA,10,alive
PIEN,PIEN03,1.0,820,204.1,10,alive
PIEN,PIEN03,1.5,NA,NA,10,alive
PIEN,PIEN03,10.0,757,114.2,10,alive
PIEN,PIEN03,10.5,NA,NA,10,alive
PIEN,PIEN03,11.0,711,120,10,alive
PIEN,PIEN03,11.5,NA,NA,10,alive
PIEN,PIEN03,12.0,733,141.7,10,alive
PIEN,PIEN03,12.5,NA,NA,10,alive
PIEN,PIEN03,13.0,NA,49.4,NA,alive
PIEN,PIEN03,13.5,NA,NA,25,alive
PIEN,PIEN03,14.0,747,NA,25,alive
PIEN,PIEN03,14.5,NA,NA,25,alive
PIEN,PIEN03,15.0,695,NA,25,alive
PIEN,PIEN03,15.5,NA,NA,10,alive
PIEN,PIEN03,16.0,742,33.8,25,alive
PIEN,PIEN03,16.5,NA,NA,10,alive
PIEN,PIEN03,17.0,680,70.4,25,alive
PIEN,PIEN03,17.5,NA,NA,25,alive
PIEN,PIEN03,18.0,739,56,25,alive
PIEN,PIEN03,18.5,NA,NA,25,alive
PIEN,PIEN03,19.0,684,41.8,25,alive
