Date,Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH,DateTime
2021-08-27,1432,156,26.2,PIED01,LPS3038,2403003,37.8,15.6,2021-08-27 14:32:00
2021-08-27,1516,113.6,26.2,PIED02,LPS3038,2403003,34.4,15.8,2021-08-27 15:16:00
2021-08-27,1513,60.3,26.3,PIED03,LPS3038,2403003,22.5,9.4,2021-08-27 15:13:00
2021-08-27,1524,232.4,26.3,PIED04,LPS3038,2403003,44.7,18.7,2021-08-27 15:24:00
2021-08-27,1526,139.6,26.3,PIED05,LPS3038,2403003,36.5,15.6,2021-08-27 15:26:00
2021-08-27,1600,68.2,26.4,PIED06,LPS3038,2403003,25,11,2021-08-27 16:00:00
2021-08-27,1408,80.3,26,PIED07,LPS3038,2403003,28.8,13.5,2021-08-27 14:08:00
2021-08-27,1330,53.6,25.6,PIED08,LPS3038,2403003,22.3,10.4,2021-08-27 13:30:00
2021-08-27,1440,94,26.4,PIED09,LPS3038,2403003,30.9,14.1,2021-08-27 14:40:00
2021-08-27,1556,108,26.5,PIED10,LPS3038,2403003,32.1,13.7,2021-08-27 15:56:00
2021-08-27,1437,92.9,26.4,PIED11,LPS3038,2403003,30.9,14.2,2021-08-27 14:37:00
2021-08-27,1544,88.3,26.3,PIED12,LPS3038,2403003,30.4,14.2,2021-08-27 15:44:00
2021-08-27,1510,109.4,26.1,PIED13,LPS3038,2403003,33.5,15.2,2021-08-27 15:10:00
2021-08-27,1519,99.2,26.3,PIED14,LPS3038,2403003,31.4,13.9,2021-08-27 15:19:00
2021-08-27,1425,97.3,26,PIED15,LPS3038,2403003,31.5,14.4,2021-08-27 14:25:00
2021-08-27,1508,176.4,26,PIED16,LPS3038,2403003,42.2,19.6,2021-08-27 15:08:00
2021-08-27,1421,99.1,25.9,PIED17,LPS3038,2403003,31.3,13.8,2021-08-27 14:21:00
2021-08-27,1554,165.6,26.5,PIED18,LPS3038,2403003,40.2,17.9,2021-08-27 15:54:00
2021-08-27,1434,186.8,26.4,PIED19,LPS3038,2403003,42.4,19,2021-08-27 14:34:00
2021-08-27,1325,245.4,25,PIED20,LPS3038,2403003,47.1,21.2,2021-08-27 13:25:00
2021-08-27,1505,86.7,26.1,PIED21,LPS3038,2403003,30.1,14.2,2021-08-27 15:05:00
2021-08-27,1413,87.4,26,PIED22,LPS3038,2403003,29.7,13.5,2021-08-27 14:13:00
2021-08-27,1503,136.2,26,PIED23,LPS3038,2403003,36,15.3,2021-08-27 15:03:00
2021-08-27,1418,85.8,25.9,PIED24,LPS3038,2403003,28,11.6,2021-08-27 14:18:00
2021-08-27,1443,150.7,26.3,PIED25,LPS3038,2403003,39.5,18.4,2021-08-27 14:43:00
2021-08-27,1454,120.9,26.2,PIED26,LPS3038,2403003,35.2,16.1,2021-08-27 14:54:00
2021-08-27,1445,92.7,26.3,PIED27,LPS3038,2403003,31.6,15.1,2021-08-27 14:45:00
2021-08-27,1449,169.6,26.2,PIED28,LPS3038,2403003,39.9,17.1,2021-08-27 14:49:00
2021-08-27,1452,95.5,26.2,PIED29,LPS3038,2403003,30,12.7,2021-08-27 14:52:00
2021-08-27,1410,110.6,26.2,PIED30,LPS3038,2403003,33,14.5,2021-08-27 14:10:00
2021-08-27,1457,110,26.2,PIED31,LPS3038,2403003,34,15.8,2021-08-27 14:57:00
2021-08-27,1338,223.6,26.1,PIED32,LPS3038,2403003,44.5,19,2021-08-27 13:38:00
