Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
12/2/2021 9:16 AM,170.0,21.9,PIED01,LPS3038,2102100,33.4,13.7
12/2/2021 9:06 AM,64.3,21.9,PIED03,LPS3038,2102100,18.1,7.2
12/2/2021 8:56 AM,71.1,22.0,PIED06,LPS3038,2102100,19.6,7.9
12/2/2021 9:08 AM,50.5,21.9,PIED07,LPS3038,2102100,14.8,5.6
12/2/2021 9:00 AM,178.8,22.2,PIED10,LPS3038,2102100,34.3,14.2
12/2/2021 8:53 AM,115.4,21.9,PIED15,LPS3038,2102100,27.4,11.5
12/2/2021 8:46 AM,150.7,21.7,PIED17,LPS3038,2102100,31.5,13.0
12/2/2021 9:22 AM,158.3,22.1,PIED22,LPS3038,2102100,32.8,14.0
12/2/2021 8:58 AM,61.8,22.1,PIED23,LPS3038,2102100,17.9,7.3
12/2/2021 11:47 AM,69.9,22.4,PIED28,LPS3038,2102100,18.4,6.7
12/2/2021 8:50 AM,74.1,21.8,PIED30,LPS3038,2102100,20.1,8.1
12/2/2021 8:49 AM,62.8,21.7,PIED31,LPS3038,2102100,18.0,7.2
12/2/2021 11:44 AM,69.0,22.1,PIED32,LPS3038,2102100,18.1,6.5
12/2/2021 11:32 AM,93.1,21.5,PIED33,LPS3038,2102100,24.0,10.2
12/2/2021 9:18 AM,67.3,21.9,PIED34,LPS3038,2102100,18.7,7.5
12/2/2021 11:49 AM,59.9,22.6,PIED35,LPS3038,2102100,17.2,6.9
12/2/2021 9:14 AM,144.3,21.8,PIED36,LPS3038,2102100,30.8,12.7
12/2/2021 9:20 AM,75.5,21.9,PIED38,LPS3038,2102100,20.4,8.3
12/2/2021 11:41 AM,68.0,21.7,PIED39,LPS3038,2102100,19.2,7.9
12/2/2021 9:12 AM,55.5,21.8,PIED46,LPS3038,2102100,16.1,6.3
12/2/2021 8:43 AM,62.0,21.7,PIED49,LPS3038,2102100,17.9,7.3
12/2/2021 1:59 PM,114.2,22.8,PIEN03,LPS3038,2102100,27.6,12.0
12/2/2021 2:01 PM,132.0,22.8,PIEN04,LPS3038,2102100,29.9,12.9
12/2/2021 2:05 PM,92.4,22.8,PIEN05,LPS3038,2102100,23.9,10.1
