Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
11/23/2021 3:49 PM,223.2,22.4,PIED01,LPS3038,2002000,37.8,16.2
11/23/2021 3:45 PM,68.9,22.2,PIED03,LPS3038,2002000,18.8,7.8
11/23/2021 4:29 PM,64.7,22.9,PIED04,LPS3038,2002000,18.4,7.9
11/23/2021 4:35 PM,57.8,23.0,PIED06,LPS3038,2002000,16.5,6.8
11/23/2021 3:57 PM,55.8,22.8,PIED07,LPS3038,2002000,15.8,6.3
11/23/2021 4:15 PM,92.8,22.5,PIED10,LPS3038,2002000,23.7,10.3
11/23/2021 4:06 PM,60.7,22.9,PIED12,LPS3038,2002000,17.1,7.0
11/23/2021 4:39 PM,75.7,22.9,PIED13,LPS3038,2002000,20.5,8.8
11/23/2021 4:13 PM,147.9,22.6,PIED15,LPS3038,2002000,31.2,13.7
11/23/2021 4:23 PM,75.6,22.7,PIED16,LPS3038,2002000,20.5,8.8
11/23/2021 4:11 PM,276.0,22.7,PIED17,LPS3038,2002000,41.3,17.5
11/23/2021 3:51 PM,75.7,22.5,PIED22,LPS3038,2002000,20.4,8.7
11/23/2021 4:36 PM,69.0,23.0,PIED23,LPS3038,2002000,18.6,7.6
11/23/2021 4:00 PM,54.8,22.9,PIED28,LPS3038,2002000,15.7,6.4
11/23/2021 4:33 PM,79.2,23.0,PIED30,LPS3038,2002000,20.9,8.8
11/23/2021 4:17 PM,69.7,22.5,PIED31,LPS3038,2002000,19.4,8.4
11/23/2021 3:53 PM,78.9,22.6,PIED32,LPS3038,2002000,21.1,9.0
11/23/2021 3:43 PM,72.0,22.1,PIED33,LPS3038,2002000,19.7,8.4
11/23/2021 4:03 PM,57.8,22.9,PIED34,LPS3038,2002000,16.6,6.9
11/23/2021 4:31 PM,70.4,22.9,PIED35,LPS3038,2002000,19.5,8.4
11/23/2021 3:47 PM,72.8,22.3,PIED36,LPS3038,2002000,20.0,8.6
11/23/2021 3:58 PM,68.2,22.8,PIED38,LPS3038,2002000,18.7,7.8
11/23/2021 3:55 PM,59.0,22.6,PIED39,LPS3038,2002000,16.9,7.1
11/23/2021 4:27 PM,64.0,22.9,PIED43,LPS3038,2002000,18.5,8.2
11/23/2021 4:01 PM,48.0,22.9,PIED46,LPS3038,2002000,14.1,5.6
11/23/2021 3:40 PM,54.6,22.1,PIED49,LPS3038,2002000,15.7,6.4
11/23/2021 3:09 PM,146.2,21.6,PIEN03,LPS3038,2002000,31.2,13.8
11/23/2021 3:11 PM,129.1,21.5,PIEN04,LPS3038,2002000,29.0,12.7
11/23/2021 3:15 PM,110.9,21.5,PIEN05,LPS3038,2002000,26.6,11.6
11/23/2021 3:16 PM,150.5,21.5,PIEN06,LPS3038,2002000,32.0,14.4
11/23/2021 3:19 PM,136.8,21.6,PIEN07,LPS3038,2002000,30.0,13.1
11/23/2021 3:20 PM,194.8,21.6,PIEN08,LPS3038,2002000,36.3,16.1
11/23/2021 3:23 PM,190.6,21.7,PIEN09,LPS3038,2002000,35.4,15.4
11/23/2021 3:26 PM,124.6,21.8,PIEN10,LPS3038,2002000,28.8,12.9
11/23/2021 3:28 PM,168.5,22.0,PIEN11,LPS3038,2002000,33.6,14.9
11/23/2021 3:30 PM,151.0,22.0,PIEN12,LPS3038,2002000,31.6,13.9
11/23/2021 3:32 PM,174.1,22.1,PIEN13,LPS3038,2002000,34.1,14.9
11/23/2021 3:34 PM,156.2,22.2,PIEN14,LPS3038,2002000,32.3,14.2
11/23/2021 3:36 PM,144.3,22.2,PIEN15,LPS3038,2002000,30.5,13.1
11/23/2021 2:43 PM,135.5,21.8,PIEN28,LPS3038,2002000,29.7,13.0
11/23/2021 2:45 PM,117.5,21.8,PIEN29,LPS3038,2002000,27.4,11.9
11/23/2021 2:46 PM,109.3,21.8,PIEN30,LPS3038,2002000,26.2,11.4
11/23/2021 2:50 PM,153.8,21.8,PIEN31,LPS3038,2002000,31.7,13.7
11/23/2021 2:52 PM,125.3,21.8,PIEN32,LPS3038,2002000,28.8,12.8
11/23/2021 2:55 PM,115.6,21.7,PIEN33,LPS3038,2002000,27.1,11.8
11/23/2021 2:57 PM,127.5,21.7,PIEN34,LPS3038,2002000,28.8,12.6
11/23/2021 2:59 PM,134.4,21.7,PIEN35,LPS3038,2002000,29.8,13.2
11/23/2021 3:01 PM,125.1,21.7,PIEN36,LPS3038,2002000,28.5,12.4
11/23/2021 3:03 PM,99.6,21.7,PIEN37,LPS3038,2002000,25.1,11.2
11/23/2021 3:04 PM,121.4,21.6,PIEN38,LPS3038,2002000,28.2,12.5
11/23/2021 3:06 PM,94.2,21.6,PIEN39,LPS3038,2002000,24.0,10.5
11/23/2021 2:48 PM,105.7,21.8,PIEN40,LPS3038,2002000,25.7,11.2
11/23/2021 1:26 PM,155.6,22.3,PIFL03,LPS3038,2002000,31.5,13.3
11/23/2021 1:29 PM,200.6,22.2,PIFL04,LPS3038,2002000,36.0,15.4
11/23/2021 1:30 PM,319.1,22.1,PIFL05,LPS3038,2002000,43.7,18.5
11/23/2021 1:32 PM,124.6,22.2,PIFL06,LPS3038,2002000,28.1,12.1
11/23/2021 1:34 PM,260.3,22.2,PIFL07,LPS3038,2002000,40.6,17.5
11/23/2021 1:40 PM,200.0,21.9,PIFL08,LPS3038,2002000,35.8,15.1
11/23/2021 1:44 PM,225.8,21.8,PIFL09,LPS3038,2002000,38.4,16.7
11/23/2021 1:46 PM,179.4,21.7,PIFL10,LPS3038,2002000,34.2,14.6
11/23/2021 1:48 PM,185.2,21.8,PIFL11,LPS3038,2002000,35.0,15.2
11/23/2021 1:50 PM,179.5,21.8,PIFL12,LPS3038,2002000,34.5,15.1
11/23/2021 1:52 PM,241.3,21.9,PIFL13,LPS3038,2002000,39.4,17.0
11/23/2021 1:54 PM,212.1,22.0,PIFL14,LPS3038,2002000,37.4,16.3
11/23/2021 1:57 PM,209.1,22.0,PIFL15,LPS3038,2002000,37.2,16.3
11/23/2021 2:11 PM,127.6,21.5,PIFL28,LPS3038,2002000,28.6,12.3
11/23/2021 2:13 PM,104.5,21.6,PIFL29,LPS3038,2002000,25.4,11.0
11/23/2021 2:14 PM,152.1,21.7,PIFL30,LPS3038,2002000,31.5,13.6
11/23/2021 2:16 PM,116.4,21.8,PIFL31,LPS3038,2002000,27.1,11.7
11/23/2021 2:18 PM,133.4,21.9,PIFL32,LPS3038,2002000,29.2,12.5
