Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
1/27/2022 10:47 AM,56.0,19.5,PIEN03,LPS3038,1802000,17.1,7.2
1/27/2022 10:49 AM,65.7,19.5,PIEN04,LPS3038,1802000,19.7,8.8
1/27/2022 10:45 AM,85.8,19.5,PIEN05,LPS3038,1802000,23.4,10.2
1/27/2022 11:04 AM,38.4,19.4,PIEN06,LPS3038,1802000,12.6,5.2
1/27/2022 10:55 AM,40.0,19.4,PIEN07,LPS3038,1802000,12.8,5.2
1/27/2022 11:07 AM,59.2,19.5,PIEN08,LPS3038,1802000,18.0,7.8
1/27/2022 10:52 AM,36.7,19.5,PIEN09,LPS3038,1802000,12.2,5.1
1/27/2022 11:01 AM,50.7,19.4,PIEN10,LPS3038,1802000,15.8,6.7
1/27/2022 11:09 AM,49.0,19.5,PIEN11,LPS3038,1802000,15.1,6.1
1/27/2022 10:53 AM,53.5,19.4,PIEN12,LPS3038,1802000,16.4,6.9
1/27/2022 11:02 AM,55.3,19.3,PIEN13,LPS3038,1802000,16.9,7.2
1/27/2022 10:59 AM,47.3,19.4,PIEN14,LPS3038,1802000,15.0,6.4
1/27/2022 10:57 AM,44.1,19.4,PIEN15,LPS3038,1802000,14.1,5.9
1/27/2022 10:25 AM,97.6,19.4,PIEN28,LPS3038,1802000,25.7,11.5
1/27/2022 10:23 AM,95.5,19.3,PIEN29,LPS3038,1802000,25.4,11.4
1/27/2022 10:21 AM,67.2,19.3,PIEN30,LPS3038,1802000,19.7,8.5
1/27/2022 10:28 AM,57.1,19.4,PIEN31,LPS3038,1802000,17.6,7.7
1/27/2022 10:26 AM,63.5,19.4,PIEN32,LPS3038,1802000,19.0,8.2
1/27/2022 10:42 AM,46.4,19.5,PIEN33,LPS3038,1802000,14.7,6.1
1/27/2022 10:30 AM,64.7,19.4,PIEN34,LPS3038,1802000,19.3,8.5
1/27/2022 10:36 AM,35.2,19.5,PIEN35,LPS3038,1802000,11.5,4.6
1/27/2022 10:32 AM,38.5,19.4,PIEN36,LPS3038,1802000,12.3,4.8
1/27/2022 10:34 AM,46.0,19.5,PIEN37,LPS3038,1802000,14.6,6.1
1/27/2022 10:37 AM,58.3,19.5,PIEN38,LPS3038,1802000,17.8,7.6
1/27/2022 10:43 AM,51.2,19.6,PIEN39,LPS3038,1802000,15.9,6.7
1/27/2022 10:40 AM,43.1,19.5,PIEN40,LPS3038,1802000,13.1,4.9
1/27/2022 9:25 AM,168.0,18.8,PIFL03,LPS3038,1802000,34.6,15.6
1/27/2022 9:27 AM,194.2,18.7,PIFL04,LPS3038,1802000,37.3,17.0
1/27/2022 9:23 AM,275.1,18.9,PIFL05,LPS3038,1802000,43.2,19.7
1/27/2022 9:29 AM,86.6,18.7,PIFL06,LPS3038,1802000,23.4,10.3
1/27/2022 9:38 AM,44.5,18.7,PIFL07,LPS3038,1802000,14.0,5.9
1/27/2022 9:40 AM,47.7,18.7,PIFL08,LPS3038,1802000,14.9,6.3
1/27/2022 9:46 AM,59.0,18.7,PIFL09,LPS3038,1802000,17.6,7.5
1/27/2022 9:36 AM,46.1,18.7,PIFL10,LPS3038,1802000,14.3,5.9
1/27/2022 9:43 AM,45.0,18.7,PIFL11,LPS3038,1802000,14.2,6.0
1/27/2022 9:31 AM,54.4,18.7,PIFL12,LPS3038,1802000,16.9,7.4
1/27/2022 9:48 AM,63.8,18.7,PIFL13,LPS3038,1802000,18.7,8.1
1/27/2022 9:45 AM,43.7,18.7,PIFL14,LPS3038,1802000,14.0,6.0
1/27/2022 9:34 AM,45.0,18.7,PIFL15,LPS3038,1802000,14.1,5.9
1/27/2022 9:51 AM,136.5,18.7,PIFL28,LPS3038,1802000,30.9,13.8
1/27/2022 9:57 AM,101.2,18.7,PIFL29,LPS3038,1802000,25.9,11.6
1/27/2022 9:59 AM,208.5,18.8,PIFL30,LPS3038,1802000,38.5,17.5
1/27/2022 10:11 AM,74.4,19.2,PIFL31,LPS3038,1802000,21.0,9.1
1/27/2022 10:06 AM,60.3,19.1,PIFL32,LPS3038,1802000,17.8,7.5
1/27/2022 10:09 AM,44.9,19.2,PIFL33,LPS3038,1802000,14.2,5.9
1/27/2022 10:12 AM,96.0,19.2,PIFL34,LPS3038,1802000,25.0,10.9
1/27/2022 10:04 AM,64.7,19.0,PIFL35,LPS3038,1802000,19.0,8.2
1/27/2022 10:14 AM,99.7,19.2,PIFL36,LPS3038,1802000,25.5,11.1
1/27/2022 10:18 AM,139.3,19.3,PIFL37,LPS3038,1802000,31.2,13.7
1/27/2022 10:17 AM,47.9,19.3,PIFL38,LPS3038,1802000,15.0,6.3
1/27/2022 10:07 AM,64.3,19.1,PIFL39,LPS3038,1802000,18.7,7.8
1/27/2022 10:02 AM,63.6,18.9,PIFL40,LPS3038,1802000,18.6,7.9
1/27/2022 8:36 AM,121.6,18.8,PSME03,LPS3038,1802000,29.7,13.8
1/27/2022 8:34 AM,114.0,18.9,PSME04,LPS3038,1802000,28.6,13.3
1/27/2022 8:38 AM,104.5,18.8,PSME05,LPS3038,1802000,27.1,12.5
1/27/2022 8:41 AM,62.7,18.8,PSME06,LPS3038,1802000,18.6,8.1
1/27/2022 8:55 AM,58.6,18.8,PSME07,LPS3038,1802000,17.5,7.5
1/27/2022 8:53 AM,58.0,18.8,PSME08,LPS3038,1802000,17.5,7.6
1/27/2022 8:49 AM,57.0,18.9,PSME09,LPS3038,1802000,17.3,7.5
1/27/2022 8:29 AM,50.7,19.1,PSME10,LPS3038,1802000,16.6,7.6
1/27/2022 8:40 AM,63.0,18.8,PSME11,LPS3038,1802000,19.1,8.6
1/27/2022 8:51 AM,50.7,18.9,PSME12,LPS3038,1802000,15.8,6.8
1/27/2022 8:47 AM,62.5,18.9,PSME13,LPS3038,1802000,18.9,8.4
1/27/2022 8:45 AM,65.9,18.8,PSME14,LPS3038,1802000,19.6,8.8
1/27/2022 8:43 AM,58.4,18.8,PSME15,LPS3038,1802000,18.2,8.3
1/27/2022 8:26 AM,71.7,19.2,PSME28,LPS3038,1802000,21.1,9.5
1/27/2022 8:58 AM,204.1,18.7,PSME29,LPS3038,1802000,37.9,17.1
1/27/2022 8:23 AM,89.7,19.2,PSME30,LPS3038,1802000,25.0,11.7
1/27/2022 9:18 AM,46.5,18.8,PSME31,LPS3038,1802000,14.8,6.4
1/27/2022 9:20 AM,46.0,18.8,PSME32,LPS3038,1802000,14.6,6.2
1/27/2022 9:05 AM,52.9,18.8,PSME33,LPS3038,1802000,16.5,7.3
1/27/2022 9:07 AM,49.3,18.8,PSME34,LPS3038,1802000,15.6,6.8
1/27/2022 9:04 AM,58.3,18.8,PSME35,LPS3038,1802000,17.8,7.9
1/27/2022 9:09 AM,42.3,18.8,PSME36,LPS3038,1802000,14.1,6.3
1/27/2022 8:20 AM,74.5,19.3,PSME37,LPS3038,1802000,21.6,9.7
1/27/2022 9:01 AM,63.3,18.8,PSME38,LPS3038,1802000,18.6,8.0
1/27/2022 9:14 AM,48.4,18.8,PSME39,LPS3038,1802000,15.8,7.1
1/27/2022 9:16 AM,53.2,18.8,PSME40,LPS3038,1802000,16.7,7.5
