Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
10/29/2021 11:35 AM,114.0,23.3,PIED01,LPS3038,2102000,26.6,11.4
10/29/2021 11:42 AM,59.0,23.6,PIED03,LPS3038,2102000,16.5,6.6
10/29/2021 11:27 AM,55.4,23.1,PIED04,LPS3038,2102000,15.7,6.3
10/29/2021 11:23 AM,85.5,23.0,PIED06,LPS3038,2102000,22.3,9.6
10/29/2021 11:50 AM,70.1,23.7,PIED07,LPS3038,2102000,19.0,7.8
10/29/2021 11:12 AM,236.2,22.4,PIED10,LPS3038,2102000,39.0,16.8
10/29/2021 11:48 AM,71.8,23.7,PIED12,LPS3038,2102000,19.4,8.2
10/29/2021 11:25 AM,54.3,23.1,PIED13,LPS3038,2102000,15.7,6.4
10/29/2021 11:11 AM,83.6,22.4,PIED15,LPS3038,2102000,21.8,9.3
10/29/2021 11:31 AM,88.1,23.2,PIED16,LPS3038,2102000,22.3,9.3
10/29/2021 11:08 AM,115.4,22.4,PIED17,LPS3038,2102000,26.6,11.3
10/29/2021 11:33 AM,101.6,23.3,PIED22,LPS3038,2102000,24.8,10.7
10/29/2021 11:14 AM,66.9,22.6,PIED23,LPS3038,2102000,18.6,7.8
10/29/2021 11:53 AM,50.3,23.7,PIED28,LPS3038,2102000,14.3,5.5
10/29/2021 11:16 AM,58.8,22.7,PIED30,LPS3038,2102000,16.6,6.7
10/29/2021 11:18 AM,52.4,22.7,PIED31,LPS3038,2102000,15.1,6.0
10/29/2021 11:55 AM,51.4,23.7,PIED32,LPS3038,2102000,14.5,5.6
10/29/2021 11:04 AM,61.0,22.3,PIED33,LPS3038,2102000,16.9,6.8
10/29/2021 11:46 AM,47.6,23.7,PIED34,LPS3038,2102000,13.8,5.4
10/29/2021 11:20 AM,64.2,22.8,PIED35,LPS3038,2102000,16.2,5.5
10/29/2021 11:40 AM,213.5,23.4,PIED36,LPS3038,2102000,37.1,16.0
10/29/2021 11:43 AM,58.4,23.6,PIED38,LPS3038,2102000,16.3,6.5
10/29/2021 11:45 AM,113.9,23.7,PIED39,LPS3038,2102000,26.4,11.2
10/29/2021 11:29 AM,56.7,23.2,PIED43,LPS3038,2102000,16.2,6.7
10/29/2021 11:51 AM,48.8,23.7,PIED46,LPS3038,2102000,14.2,5.7
10/29/2021 11:02 AM,57.9,22.1,PIED49,LPS3038,2102000,16.2,6.5
10/28/2021 3:24 PM,127.7,22.4,PIEN03,LPS3038,2202000,28.4,12.1
10/28/2021 3:18 PM,85.5,21.8,PIEN04,LPS3038,2202000,21.9,9.1
10/28/2021 3:21 PM,118.1,22.1,PIEN05,LPS3038,2202000,27.2,11.6
