Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
2/3/2022 11:27 AM,41.8,17.5,PIEN03,LPS2668,1803502,20.8,9.5
2/3/2022 11:28 AM,32.3,17.5,PIEN04,LPS2668,1803502,17.2,7.8
2/3/2022 11:25 AM,55.3,17.5,PIEN05,LPS2668,1803502,25.0,11.4
2/3/2022 11:43 AM,19.6,17.7,PIEN07,LPS2668,1803502,11.4,5.0
2/3/2022 11:48 AM,23.8,17.6,PIEN08,LPS2668,1803502,13.4,5.9
2/3/2022 11:44 AM,17.8,17.7,PIEN10,LPS2668,1803502,10.4,4.4
2/3/2022 11:33 AM,32.7,17.4,PIEN11,LPS2668,1803502,16.8,7.3
2/3/2022 11:34 AM,22.9,17.4,PIEN12,LPS2668,1803502,12.9,5.7
2/3/2022 11:46 AM,22.1,17.7,PIEN13,LPS2668,1803502,12.6,5.5
2/3/2022 11:41 AM,22.9,17.7,PIEN15,LPS2668,1803502,12.9,5.6
2/3/2022 11:09 AM,32.9,17.5,PIEN28,LPS2668,1803502,17.5,8.0
2/3/2022 11:08 AM,28.0,17.5,PIEN29,LPS2668,1803502,15.3,6.9
2/3/2022 11:06 AM,32.4,17.5,PIEN30,LPS2668,1803502,16.9,7.5
2/3/2022 11:13 AM,23.0,17.6,PIEN31,LPS2668,1803502,13.0,5.7
2/3/2022 11:15 AM,25.7,17.6,PIEN32,LPS2668,1803502,14.3,6.3
2/3/2022 11:22 AM,19.8,17.5,PIEN33,LPS2668,1803502,11.4,5.0
2/3/2022 11:11 AM,21.9,17.5,PIEN34,LPS2668,1803502,12.5,5.5
2/3/2022 11:19 AM,21.0,17.6,PIEN35,LPS2668,1803502,12.0,5.2
2/3/2022 11:16 AM,23.1,17.6,PIEN37,LPS2668,1803502,13.1,5.8
2/3/2022 11:18 AM,24.4,17.6,PIEN38,LPS2668,1803502,13.8,6.2
2/3/2022 11:21 AM,23.6,17.5,PIEN39,LPS2668,1803502,13.2,5.8
2/3/2022 10:27 AM,84.2,17.4,PIFL03,LPS2668,1803502,31.7,14.4
2/3/2022 10:29 AM,107.1,17.4,PIFL04,LPS2668,1803502,35.7,16.1
2/3/2022 10:25 AM,172.6,17.5,PIFL05,LPS2668,1803502,44.1,20.1
2/3/2022 10:33 AM,41.0,17.2,PIFL06,LPS2668,1803502,20.1,9.0
2/3/2022 10:36 AM,21.2,17.2,PIFL07,LPS2668,1803502,12.0,5.2
2/3/2022 10:35 AM,22.4,17.2,PIFL08,LPS2668,1803502,12.6,5.5
2/3/2022 10:41 AM,20.7,17.2,PIFL09,LPS2668,1803502,11.6,4.9
2/3/2022 10:37 AM,23.3,17.2,PIFL10,LPS2668,1803502,13.1,5.8
2/3/2022 10:39 AM,21.8,17.2,PIFL11,LPS2668,1803502,12.3,5.3
2/3/2022 10:32 AM,24.7,17.3,PIFL12,LPS2668,1803502,13.8,6.1
2/3/2022 10:40 AM,20.1,17.2,PIFL13,LPS2668,1803502,11.3,4.9
2/3/2022 10:43 AM,20.4,17.1,PIFL14,LPS2668,1803502,11.5,4.9
2/3/2022 10:30 AM,25.0,17.3,PIFL15,LPS2668,1803502,14.1,6.3
2/3/2022 10:45 AM,60.6,17.1,PIFL28,LPS2668,1803502,26.2,12.0
2/3/2022 10:46 AM,75.3,17.1,PIFL29,LPS2668,1803502,30.1,14.0
2/3/2022 10:48 AM,149.2,17.1,PIFL30,LPS2668,1803502,41.3,18.7
2/3/2022 10:55 AM,30.9,17.4,PIFL31,LPS2668,1803502,16.2,7.1
2/3/2022 10:53 AM,23.7,17.4,PIFL32,LPS2668,1803502,13.1,5.6
2/3/2022 10:56 AM,24.0,17.4,PIFL33,LPS2668,1803502,13.4,5.9
2/3/2022 10:59 AM,95.3,17.3,PIFL34,LPS2668,1803502,33.8,15.3
2/3/2022 10:49 AM,26.1,17.1,PIFL35,LPS2668,1803502,14.3,6.4
2/3/2022 11:03 AM,50.1,17.4,PIFL36,LPS2668,1803502,23.0,10.3
2/3/2022 11:00 AM,48.5,17.3,PIFL37,LPS2668,1803502,22.7,10.2
2/3/2022 11:02 AM,22.9,17.4,PIFL38,LPS2668,1803502,13.0,5.8
2/3/2022 10:57 AM,56.3,17.4,PIFL39,LPS2668,1803502,24.9,11.1
2/3/2022 10:52 AM,22.2,17.4,PIFL40,LPS2668,1803502,12.3,5.3
2/3/2022 10:16 AM,105.3,17.5,PSME03,LPS2668,1803502,35.6,16.1
2/3/2022 10:13 AM,84.2,17.6,PSME04,LPS2668,1803502,31.9,14.6
2/3/2022 10:18 AM,49.2,17.5,PSME05,LPS2668,1803502,23.2,10.6
2/3/2022 10:23 AM,25.5,17.5,PSME11,LPS2668,1803502,14.2,6.3
2/3/2022 10:20 AM,30.2,17.5,PSME14,LPS2668,1803502,16.5,7.6
2/3/2022 9:54 AM,45.9,17.9,PSME28,LPS2668,1803502,22.9,10.8
2/3/2022 10:00 AM,114.3,17.8,PSME29,LPS2668,1803502,37.4,17.1
2/3/2022 9:56 AM,42.7,17.9,PSME30,LPS2668,1803502,21.2,9.7
2/3/2022 10:08 AM,22.8,17.6,PSME31,LPS2668,1803502,13.2,6.0
2/3/2022 10:02 AM,30.0,17.7,PSME35,LPS2668,1803502,16.4,7.4
2/3/2022 10:10 AM,22.5,17.6,PSME36,LPS2668,1803502,12.9,5.8
2/3/2022 10:04 AM,34.4,17.7,PSME38,LPS2668,1803502,18.1,8.2
2/3/2022 10:07 AM,26.6,17.6,PSME39,LPS2668,1803502,14.7,6.5
2/3/2022 10:06 AM,27.0,17.6,PSME40,LPS2668,1803502,15.0,6.8
