Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
3/3/2022 10:11 AM,96.0,21.3,PIEN03,LPS3038,2002000,25.3,11.8
3/3/2022 10:17 AM,63.0,21.4,PIEN04,LPS3038,2002000,18.3,8.0
3/3/2022 10:07 AM,91.6,21.1,PIEN05,LPS3038,2002000,23.8,10.6
3/3/2022 10:20 AM,115.5,21.4,PIEN28,LPS3038,2002000,28.2,13.1
3/3/2022 10:22 AM,64.3,21.4,PIEN29,LPS3038,2002000,19.0,8.6
3/3/2022 10:23 AM,69.3,21.4,PIEN30,LPS3038,2002000,19.5,8.5
3/3/2022 10:26 AM,40.0,21.4,PIEN38,LPS3038,2002000,12.7,5.5
3/3/2022 10:31 AM,161.2,21.8,PIFL03,LPS3038,2002000,33.2,14.9
3/3/2022 10:29 AM,201.3,21.8,PIFL04,LPS3038,2002000,36.6,16.1
3/3/2022 10:34 AM,328.4,21.7,PIFL05,LPS3038,2002000,46.4,21.8
3/3/2022 10:48 AM,55.0,21.7,PIFL06,LPS3038,2002000,16.2,6.9
3/3/2022 11:03 AM,45.2,21.9,PIFL07,LPS3038,2002000,13.7,5.7
3/3/2022 10:54 AM,44.4,22.1,PIFL08,LPS3038,2002000,13.8,5.9
3/3/2022 11:16 AM,36.8,22.1,PIFL09,LPS3038,2002000,11.6,4.8
3/3/2022 11:09 AM,37.7,22.6,PIFL10,LPS3038,2002000,11.8,4.9
3/3/2022 11:11 AM,42.8,22.4,PIFL11,LPS3038,2002000,13.4,5.7
3/3/2022 10:43 AM,53.5,21.6,PIFL12,LPS3038,2002000,15.9,6.8
3/3/2022 11:14 AM,35.1,22.2,PIFL13,LPS3038,2002000,11.1,4.5
3/3/2022 11:17 AM,39.8,22.0,PIFL14,LPS3038,2002000,12.5,5.2
3/3/2022 10:38 AM,51.2,21.6,PIFL15,LPS3038,2002000,15.8,7.0
3/3/2022 11:23 AM,111.9,22.1,PIFL28,LPS3038,2002000,27.8,13.1
3/3/2022 11:21 AM,116.7,22.2,PIFL29,LPS3038,2002000,28.2,13.0
3/3/2022 11:25 AM,173.4,22.1,PIFL30,LPS3038,2002000,34.9,16.1
3/3/2022 11:41 AM,40.5,21.8,PIFL31,LPS3038,2002000,12.4,5.0
3/3/2022 11:39 AM,45.2,21.8,PIFL32,LPS3038,2002000,13.7,5.7
3/3/2022 11:42 AM,42.6,21.8,PIFL33,LPS3038,2002000,13.2,5.5
3/3/2022 11:46 AM,41.5,21.7,PIFL34,LPS3038,2002000,12.7,5.1
3/3/2022 11:34 AM,42.0,22.0,PIFL35,LPS3038,2002000,12.8,5.2
3/3/2022 11:51 AM,48.4,21.7,PIFL36,LPS3038,2002000,15.1,6.7
3/3/2022 11:48 AM,35.4,21.7,PIFL37,LPS3038,2002000,10.9,4.2
3/3/2022 11:49 AM,40.5,21.7,PIFL38,LPS3038,2002000,12.7,5.3
3/3/2022 11:44 AM,57.5,21.7,PIFL39,LPS3038,2002000,17.2,7.6
3/3/2022 11:37 AM,35.0,21.9,PIFL40,LPS3038,2002000,10.9,4.4
