Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
9/3/2021 2:14 PM,162.0,25.0,PIED01AW,LPS3038,2403704,44.2,20.5
9/3/2021 1:41 PM,204.0,25.2,PIED02AD,LPS3038,2403704,47.3,21.1
9/3/2021 1:38 PM,200.1,25.0,PIED03AD,LPS3038,2403704,47.3,21.5
9/3/2021 2:36 PM,344.1,25.2,PIED04HD,LPS3038,2403704,56.2,26.3
9/3/2021 1:51 PM,155.4,25.3,PIED05AD,LPS3038,2403704,43.2,19.7
9/3/2021 11:44 AM,228.9,25.2,PIED06HD,LPS3038,2403704,49.8,22.9
9/3/2021 12:07 PM,137.1,25.1,PIED07AD,LPS3038,2403704,40.8,18.4
9/3/2021 11:34 AM,135.1,24.6,PIED08AW,LPS3038,2403704,41.0,18.8
9/3/2021 12:49 PM,92.4,23.8,PIED09HD,LPS3038,2403704,34.4,15.7
9/3/2021 1:58 PM,220.3,25.3,PIED10HW,LPS3038,2403704,49.1,22.5
9/3/2021 1:11 PM,123.1,25.0,PIED11AD,LPS3038,2403704,39.3,17.9
9/3/2021 1:49 PM,277.9,25.2,PIED12AD,LPS3038,2403704,53.0,24.6
9/3/2021 1:36 PM,161.0,24.8,PIED13HD,LPS3038,2403704,44.0,20.2
9/3/2021 1:24 PM,253.0,24.6,PIED14HD,LPS3038,2403704,51.4,23.7
9/3/2021 11:30 AM,391.3,24.5,PIED15HW,LPS3038,2403704,57.8,26.7
9/3/2021 1:20 PM,331.1,24.3,PIED16HD,LPS3038,2403704,55.5,25.8
9/3/2021 11:39 AM,132.1,25.0,PIED17HW,LPS3038,2403704,40.5,18.5
9/3/2021 1:46 PM,245.1,25.2,PIED18AD,LPS3038,2403704,51.0,23.6
9/3/2021 2:24 PM,227.3,24.9,PIED19AD,LPS3038,2403704,49.2,22.2
9/3/2021 2:45 PM,222.7,25.3,PIED20HW,LPS3038,2403704,49.6,23.1
9/3/2021 2:07 PM,120.4,25.3,PIED21HD,LPS3038,2403704,38.7,17.5
9/3/2021 11:36 AM,217.0,24.8,PIED22AW,LPS3038,2403704,49.4,23.2
9/3/2021 2:01 PM,231.4,25.2,PIED23HD,LPS3038,2403704,49.8,22.7
9/3/2021 2:17 PM,207.5,24.9,PIED24HW,LPS3038,2403704,48.0,21.9
9/3/2021 1:09 PM,87.6,25.0,PIED25HD,LPS3038,2403704,32.9,14.6
9/3/2021 2:40 PM,179.0,25.2,PIED26HD,LPS3038,2403704,46.1,21.5
9/3/2021 11:59 AM,114.6,25.2,PIED27HD,LPS3038,2403704,37.8,17.1
9/3/2021 12:10 PM,237.8,25.0,PIED28AD,LPS3038,2403704,50.6,23.6
9/3/2021 1:44 PM,330.1,25.2,PIED29AD,LPS3038,2403704,55.4,25.7
9/3/2021 12:02 PM,183.1,25.2,PIED30HD,LPS3038,2403704,46.0,21.0
9/3/2021 1:53 PM,109.2,25.4,PIED31HD,LPS3038,2403704,37.3,17.1
9/3/2021 1:22 PM,210.2,24.4,PIED32AD,LPS3038,2403704,48.6,22.5
9/3/2021 2:05 PM,218.9,25.3,PIED33HD,LPS3038,2403704,49.0,22.5
9/3/2021 12:04 PM,106.4,25.2,PIED34AD,LPS3038,2403704,36.6,16.5
9/3/2021 12:52 PM,188.0,24.0,PIED35HD,LPS3038,2403704,46.9,21.9
9/3/2021 11:41 AM,372.8,25.1,PIED36AW,LPS3038,2403704,57.0,26.3
9/3/2021 2:50 PM,177.0,25.4,PIED37HD,LPS3038,2403704,44.9,20.0
9/3/2021 1:02 PM,181.3,24.6,PIED38AD,LPS3038,2403704,46.3,21.5
9/3/2021 12:54 PM,98.9,24.2,PIED39AD,LPS3038,2403704,35.6,16.4
9/3/2021 2:21 PM,383.6,24.9,PIED40AD,LPS3038,2403704,57.4,26.5
9/3/2021 1:29 PM,73.8,25.0,PIED41AD,LPS3038,2403704,30.4,13.8
9/3/2021 2:32 PM,277.6,25.3,PIED42AW,LPS3038,2403704,52.3,23.6
9/3/2021 12:59 PM,218.6,24.4,PIED43HD,LPS3038,2403704,49.0,22.4
9/3/2021 2:26 PM,172.0,24.9,PIED44AD,LPS3038,2403704,44.9,20.4
9/3/2021 11:53 AM,105.8,25.3,PIED45HD,LPS3038,2403704,36.3,16.3
9/3/2021 1:06 PM,110.5,24.8,PIED46AD,LPS3038,2403704,37.6,17.3
9/3/2021 2:42 PM,180.2,25.2,PIED47HD,LPS3038,2403704,45.8,21.0
9/3/2021 11:56 AM,254.7,25.3,PIED48HD,LPS3038,2403704,51.0,23.1
9/3/2021 2:30 PM,207.9,25.1,PIED49AD,LPS3038,2403704,48.1,21.9
9/3/2021 8:51 AM,218.4,24.1,PIPO01AW,LPS3038,2403704,48.6,21.8
9/3/2021 8:57 AM,105.5,24.3,PIPO02AW,LPS3038,2403704,36.3,16.3
9/3/2021 10:17 AM,70.3,24.9,PIPO03HW,LPS3038,2403704,29.3,13.1
9/3/2021 9:13 AM,205.3,24.8,PIPO04AD,LPS3038,2403704,47.8,21.7
9/3/2021 9:24 AM,54.7,24.9,PIPO05AD,LPS3038,2403704,25.2,11.2
9/3/2021 9:37 AM,75.7,24.8,PIPO06HD,LPS3038,2403704,30.7,13.8
9/3/2021 9:45 AM,158.9,25.0,PIPO07AD,LPS3038,2403704,43.4,19.7
9/3/2021 10:40 AM,225.4,24.9,PIPO08HD,LPS3038,2403704,49.2,22.3
9/3/2021 10:20 AM,116.7,25.0,PIPO09AW,LPS3038,2403704,37.8,16.7
9/3/2021 9:26 AM,90.9,24.9,PIPO10HD,LPS3038,2403704,34.0,15.5
9/3/2021 10:01 AM,95.6,25.4,PIPO11AD,LPS3038,2403704,34.8,15.8
9/3/2021 9:16 AM,225.3,24.9,PIPO12AD,LPS3038,2403704,48.9,21.9
9/3/2021 9:56 AM,71.1,25.2,PIPO13HD,LPS3038,2403704,29.6,13.4
9/3/2021 10:34 AM,162.7,25.1,PIPO14AD,LPS3038,2403704,43.6,19.4
9/3/2021 8:49 AM,111.1,24.0,PIPO15AW,LPS3038,2403704,37.3,16.8
9/3/2021 9:33 AM,253.2,24.9,PIPO16HD,LPS3038,2403704,51.4,23.8
9/3/2021 10:56 AM,93.4,25.3,PIPO17AD,LPS3038,2403704,34.1,15.2
9/3/2021 9:00 AM,118.1,24.4,PIPO18HW,LPS3038,2403704,38.5,17.5
9/3/2021 11:11 AM,177.1,25.6,PIPO19HD,LPS3038,2403704,45.1,20.3
9/3/2021 10:46 AM,108.8,25.0,PIPO20HD,LPS3038,2403704,37.1,16.9
9/3/2021 10:29 AM,440.9,24.9,PIPO21HD,LPS3038,2403704,58.8,26.5
9/3/2021 9:54 AM,68.1,25.2,PIPO22AD,LPS3038,2403704,29.0,13.1
9/3/2021 11:18 AM,178.4,25.7,PIPO23HD,LPS3038,2403704,45.0,20.0
9/3/2021 10:11 AM,303.8,25.1,PIPO24AW,LPS3038,2403704,53.8,24.5
9/3/2021 10:26 AM,119.9,24.9,PIPO25HD,LPS3038,2403704,38.5,17.3
9/3/2021 10:32 AM,117.5,25.0,PIPO26AD,LPS3038,2403704,38.5,17.6
9/3/2021 9:51 AM,207.1,25.1,PIPO27HD,LPS3038,2403704,48.0,21.9
9/3/2021 9:29 AM,293.1,24.9,PIPO28AD,LPS3038,2403704,53.4,24.3
9/3/2021 9:19 AM,103.5,24.9,PIPO29HD,LPS3038,2403704,36.0,16.2
9/3/2021 11:15 AM,109.6,25.6,PIPO30HD,LPS3038,2403704,36.8,16.4
9/3/2021 10:51 AM,114.9,25.2,PIPO31HD,LPS3038,2403704,37.8,17.1
9/3/2021 11:02 AM,198.8,25.5,PIPO32AD,LPS3038,2403704,47.1,21.2
9/3/2021 10:43 AM,94.1,24.9,PIPO33HD,LPS3038,2403704,34.3,15.3
9/3/2021 9:03 AM,133.7,24.5,PIPO34HD,LPS3038,2403704,40.2,17.8
9/3/2021 8:55 AM,184.7,24.3,PIPO35HW,LPS3038,2403704,46.2,21.1
9/3/2021 9:08 AM,88.9,24.6,PIPO36HD,LPS3038,2403704,33.3,14.9
9/3/2021 10:49 AM,97.3,25.1,PIPO37AD,LPS3038,2403704,34.7,15.4
9/3/2021 10:03 AM,93.4,25.4,PIPO38AD,LPS3038,2403704,33.9,15.0
9/3/2021 10:54 AM,129.1,25.2,PIPO39AD,LPS3038,2403704,39.8,17.9
9/3/2021 11:09 AM,194.9,25.5,PIPO40HD,LPS3038,2403704,46.6,20.8
9/3/2021 10:23 AM,115.0,25.0,PIPO41HW,LPS3038,2403704,37.5,16.6
9/3/2021 11:06 AM,187.9,25.5,PIPO42HD,LPS3038,2403704,46.2,20.9
9/3/2021 11:04 AM,179.5,25.5,PIPO43AD,LPS3038,2403704,45.4,20.4
9/3/2021 9:10 AM,196.2,24.7,PIPO44AD,LPS3038,2403704,46.7,20.9
9/3/2021 9:42 AM,143.4,24.8,PIPO45AD,LPS3038,2403704,42.2,19.5
9/3/2021 9:58 AM,122.5,25.3,PIPO46AD,LPS3038,2403704,38.6,17.1
9/3/2021 9:48 AM,146.2,25.1,PIPO47AD,LPS3038,2403704,42.5,19.7
9/3/2021 10:14 AM,200.9,25.1,PIPO48HW,LPS3038,2403704,47.3,21.4
