Time,Conductance,Temperature_C,SpeciesID,SerialNumber,CalNum,LeafSensor_PercentRH,FilterSensor_PercentRH
5/6/2022 1:58 PM,225.7,23.5,PIFL04,LPS3038,2202001,38.8,17.3
5/6/2022 2:02 PM,76.2,23.6,PIFL06,LPS3038,2202001,20.8,9.2
5/6/2022 2:03 PM,167.4,23.6,PIFL03,LPS3038,2202001,33.6,14.9
5/6/2022 2:06 PM,73.6,23.6,PIFL37,LPS3038,2202001,20.1,8.6
5/6/2022 2:07 PM,55.4,23.6,PIFL40,LPS3038,2202001,16.0,6.7
5/6/2022 2:09 PM,59.9,23.7,PIFL34,LPS3038,2202001,17.1,7.2
5/6/2022 2:10 PM,52.8,23.7,PIFL39,LPS3038,2202001,15.3,6.3
5/6/2022 2:12 PM,210.3,23.6,PIFL05,LPS3038,2202001,37.6,16.9
5/6/2022 2:14 PM,263.7,23.6,PIFL30,LPS3038,2202001,41.6,18.7
5/6/2022 2:18 PM,114.0,23.4,PIFL28,LPS3038,2202001,27.1,12.1
5/6/2022 2:20 PM,143.3,23.5,PIFL29,LPS3038,2202001,30.9,13.7
