"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1","PIED","PIED01","1.0",760,156,10,"alive"
"2","PIED","PIED01","1.5",NA,NA,10,"alive"
"3","PIED","PIED01","10.0",616,114,10,"alive"
"4","PIED","PIED01","10.5",NA,NA,10,"alive"
"5","PIED","PIED01","11.0",602,181.7,10,"alive"
"6","PIED","PIED01","11.5",NA,NA,10,"alive"
"7","PIED","PIED01","12.0",518,161.3,10,"alive"
"8","PIED","PIED01","12.5",NA,NA,10,"alive"
"9","PIED","PIED01","13.0",551,131.6,10,"alive"
"10","PIED","PIED01","13.5",NA,NA,10,"alive"
"11","PIED","PIED01","14.0",465,223.2,10,"alive"
"12","PIED","PIED01","14.5",NA,NA,10,"alive"
"13","PIED","PIED01","15.0",517,170,10,"alive"
"14","PIED","PIED01","15.5",NA,NA,10,"alive"
"15","PIED","PIED01","16.0",445,173.4,10,"alive"
"16","PIED","PIED01","16.5",NA,NA,10,"alive"
"17","PIED","PIED01","17.0",449,178.8,10,"alive"
"18","PIED","PIED01","17.5",NA,NA,10,"alive"
"19","PIED","PIED01","18.0",NA,53,NA,"alive"
"20","PIED","PIED01","18.5",NA,NA,10,"alive"
"21","PIED","PIED01","19.0",481,NA,10,"alive"
"22","PIED","PIED01","19.5",NA,NA,10,"alive"
"23","PIED","PIED01","2.0",752,162,10,"alive"
"24","PIED","PIED01","2.5",NA,NA,10,"alive"
"25","PIED","PIED01","20.0",432,NA,10,"alive"
"26","PIED","PIED01","20.5",NA,NA,10,"alive"
"27","PIED","PIED01","21.0",504,200.4,10,"alive"
"28","PIED","PIED01","21.5",NA,NA,NA,"alive"
"29","PIED","PIED01","22.0",422,NA,NA,"alive"
"30","PIED","PIED01","22.5",NA,NA,25,"alive"
"31","PIED","PIED01","3.0",709,229.3,10,"alive"
"32","PIED","PIED01","3.5",NA,NA,10,"alive"
"33","PIED","PIED01","4.0",661,NA,10,"alive"
"34","PIED","PIED01","4.5",NA,NA,10,"alive"
"35","PIED","PIED01","5.0",675,140.5,10,"alive"
"36","PIED","PIED01","5.5",NA,NA,10,"alive"
"37","PIED","PIED01","6.0",629,95.2,10,"alive"
"38","PIED","PIED01","6.5",NA,NA,10,"alive"
"39","PIED","PIED01","7.0",679,93.9,10,"alive"
"40","PIED","PIED01","7.5",NA,NA,10,"alive"
"41","PIED","PIED01","8.0",587,103.9,10,"alive"
"42","PIED","PIED01","8.5",NA,NA,10,"alive"
"43","PIED","PIED01","9.0",657,76.6,10,"alive"
"44","PIED","PIED01","9.5",NA,NA,NA,"alive"
"45","PIED","PIED02","1.0",794,NA,10,"alive"
"46","PIED","PIED02","1.5",NA,NA,25,"alive"
"47","PIED","PIED02","10.0",440,NA,25,"alive"
"48","PIED","PIED02","10.5",NA,NA,25,"alive"
"49","PIED","PIED02","11.0",430,NA,25,"alive"
"50","PIED","PIED02","11.5",NA,NA,25,"alive"
"51","PIED","PIED02","12.0",424,NA,25,"alive"
"52","PIED","PIED02","12.5",NA,NA,50,"alive"
"53","PIED","PIED02","13.0",420,NA,50,"alive"
"54","PIED","PIED02","13.5",NA,NA,50,"alive"
"55","PIED","PIED02","14.0",418,NA,50,"alive"
"56","PIED","PIED02","14.5",NA,NA,75,"alive"
"57","PIED","PIED02","15.0",418,NA,75,"dead"
"58","PIED","PIED02","15.5",NA,NA,90,"dead"
"59","PIED","PIED02","16.0",417,NA,90,"dead"
"60","PIED","PIED02","16.5",NA,NA,75,"dead"
"61","PIED","PIED02","17.0",416,NA,90,"dead"
"62","PIED","PIED02","17.5",NA,NA,NA,"dead"
"63","PIED","PIED02","18.0",NA,NA,NA,"dead"
"64","PIED","PIED02","18.5",NA,NA,NA,"dead"
"65","PIED","PIED02","19.0",NA,NA,NA,"dead"
"66","PIED","PIED02","19.5",NA,NA,NA,"dead"
"67","PIED","PIED02","2.0",763,NA,10,"alive"
"68","PIED","PIED02","2.5",NA,NA,10,"alive"
"69","PIED","PIED02","20.0",NA,NA,NA,"dead"
"70","PIED","PIED02","20.5",NA,NA,NA,"dead"
"71","PIED","PIED02","21.0",NA,NA,NA,"dead"
"72","PIED","PIED02","21.5",NA,NA,NA,"dead"
"73","PIED","PIED02","22.0",NA,NA,NA,"dead"
"74","PIED","PIED02","22.5",NA,NA,NA,"dead"
"75","PIED","PIED02","3.0",716,NA,10,"alive"
"76","PIED","PIED02","3.5",NA,NA,25,"alive"
"77","PIED","PIED02","4.0",643,NA,25,"alive"
"78","PIED","PIED02","4.5",NA,NA,25,"alive"
"79","PIED","PIED02","5.0",561,NA,25,"alive"
"80","PIED","PIED02","5.5",NA,NA,25,"alive"
"81","PIED","PIED02","6.0",524,NA,25,"alive"
"82","PIED","PIED02","6.5",NA,NA,25,"alive"
"83","PIED","PIED02","7.0",484,NA,25,"alive"
"84","PIED","PIED02","7.5",NA,NA,25,"alive"
"85","PIED","PIED02","8.0",459,NA,25,"alive"
"86","PIED","PIED02","8.5",NA,NA,25,"alive"
"87","PIED","PIED02","9.0",449,NA,25,"alive"
"88","PIED","PIED02","9.5",NA,NA,NA,"alive"
"89","PIED","PIED03","1.0",746,60.3,10,"alive"
"90","PIED","PIED03","1.5",NA,NA,10,"alive"
"91","PIED","PIED03","10.0",410,59,10,"alive"
"92","PIED","PIED03","10.5",NA,NA,10,"alive"
"93","PIED","PIED03","11.0",398,54.9,10,"alive"
"94","PIED","PIED03","11.5",NA,NA,10,"alive"
