"","Species","SpeciesID","Week","Weight_g","Porometer","PercentBrown","Dead"
"1","PIPO","PIPO01","1.0",587,140.6,10,"alive"
"2","PIPO","PIPO01","1.5",NA,NA,10,"alive"
"3","PIPO","PIPO01","10.0",480,213.2,25,"alive"
"4","PIPO","PIPO01","10.5",NA,NA,25,"alive"
"5","PIPO","PIPO01","11.0",489,147,25,"alive"
"6","PIPO","PIPO01","11.5",NA,NA,25,"alive"
"7","PIPO","PIPO01","12.0",409,149.9,25,"alive"
"8","PIPO","PIPO01","12.5",NA,NA,25,"alive"
"9","PIPO","PIPO01","13.0",443,96.5,10,"alive"
"10","PIPO","PIPO01","13.5",NA,NA,10,"alive"
"11","PIPO","PIPO01","14.0",357,226.1,10,"alive"
"12","PIPO","PIPO01","14.5",NA,NA,10,"alive"
"13","PIPO","PIPO01","15.0",426,120,10,"alive"
"14","PIPO","PIPO01","15.5",NA,NA,10,"alive"
"15","PIPO","PIPO01","16.0",339,86.8,25,"alive"
"16","PIPO","PIPO01","2.0",583,218.4,10,"alive"
"17","PIPO","PIPO01","2.5",NA,NA,10,"alive"
"18","PIPO","PIPO01","3.0",533,244.3,25,"alive"
"19","PIPO","PIPO01","3.5",NA,NA,10,"alive"
"20","PIPO","PIPO01","4.0",465,NA,10,"alive"
"21","PIPO","PIPO01","4.5",NA,NA,10,"alive"
"22","PIPO","PIPO01","5.0",499,234.8,10,"alive"
"23","PIPO","PIPO01","5.5",NA,NA,25,"alive"
"24","PIPO","PIPO01","6.0",449,142.3,10,"alive"
"25","PIPO","PIPO01","6.5",NA,NA,25,"alive"
"26","PIPO","PIPO01","7.0",522,117.9,10,"alive"
"27","PIPO","PIPO01","7.5",NA,NA,25,"alive"
"28","PIPO","PIPO01","8.0",425,152.9,25,"alive"
"29","PIPO","PIPO01","8.5",NA,NA,25,"alive"
"30","PIPO","PIPO01","9.0",485,87.3,25,"alive"
"31","PIPO","PIPO01","9.5",NA,NA,NA,"alive"
"32","PIPO","PIPO02","1.0",739,85.4,25,"alive"
"33","PIPO","PIPO02","1.5",NA,NA,25,"alive"
"34","PIPO","PIPO02","10.0",582,48,10,"alive"
"35","PIPO","PIPO02","10.5",NA,NA,10,"alive"
"36","PIPO","PIPO02","11.0",596,59.4,10,"alive"
"37","PIPO","PIPO02","11.5",NA,NA,10,"alive"
"38","PIPO","PIPO02","12.0",510,51.2,10,"alive"
"39","PIPO","PIPO02","12.5",NA,NA,10,"alive"
"40","PIPO","PIPO02","13.0",539,41.3,10,"alive"
"41","PIPO","PIPO02","13.5",NA,NA,10,"alive"
"42","PIPO","PIPO02","14.0",466,62,10,"alive"
"43","PIPO","PIPO02","14.5",NA,NA,10,"alive"
"44","PIPO","PIPO02","15.0",543,53.2,10,"alive"
"45","PIPO","PIPO02","15.5",NA,NA,10,"alive"
"46","PIPO","PIPO02","16.0",472,60.8,10,"alive"
"47","PIPO","PIPO02","2.0",733,105.5,25,"alive"
"48","PIPO","PIPO02","2.5",NA,NA,25,"alive"
"49","PIPO","PIPO02","3.0",697,110.5,25,"alive"
"50","PIPO","PIPO02","3.5",NA,NA,25,"alive"
"51","PIPO","PIPO02","4.0",651,NA,25,"alive"
"52","PIPO","PIPO02","4.5",NA,NA,25,"alive"
"53","PIPO","PIPO02","5.0",671,119.4,25,"alive"
"54","PIPO","PIPO02","5.5",NA,NA,25,"alive"
"55","PIPO","PIPO02","6.0",625,72.1,10,"alive"
"56","PIPO","PIPO02","6.5",NA,NA,25,"alive"
"57","PIPO","PIPO02","7.0",663,62.1,10,"alive"
"58","PIPO","PIPO02","7.5",NA,NA,25,"alive"
"59","PIPO","PIPO02","8.0",574,89.8,25,"alive"
"60","PIPO","PIPO02","8.5",NA,NA,25,"alive"
"61","PIPO","PIPO02","9.0",610,81,25,"alive"
"62","PIPO","PIPO02","9.5",NA,NA,NA,"alive"
"63","PIPO","PIPO03","1.0",756,NA,10,"alive"
"64","PIPO","PIPO03","1.5",NA,NA,10,"alive"
"65","PIPO","PIPO03","10.0",624,NA,10,"alive"
"66","PIPO","PIPO03","10.5",NA,NA,25,"alive"
"67","PIPO","PIPO03","11.0",632,NA,25,"alive"
"68","PIPO","PIPO03","11.5",NA,NA,25,"alive"
"69","PIPO","PIPO03","12.0",546,NA,25,"alive"
"70","PIPO","PIPO03","12.5",NA,NA,25,"alive"
"71","PIPO","PIPO03","13.0",581,NA,75,"alive"
"72","PIPO","PIPO03","13.5",NA,NA,90,"dead"
"73","PIPO","PIPO03","14.0",514,NA,90,"dead"
"74","PIPO","PIPO03","14.5",NA,NA,90,"dead"
"75","PIPO","PIPO03","15.0",586,NA,90,"dead"
"76","PIPO","PIPO03","15.5",NA,NA,90,"dead"
"77","PIPO","PIPO03","16.0",508,NA,90,"dead"
"78","PIPO","PIPO03","2.0",753,NA,10,"alive"
"79","PIPO","PIPO03","2.5",NA,NA,10,"alive"
"80","PIPO","PIPO03","3.0",730,NA,10,"alive"
"81","PIPO","PIPO03","3.5",NA,NA,10,"alive"
"82","PIPO","PIPO03","4.0",697,NA,10,"alive"
"83","PIPO","PIPO03","4.5",NA,NA,10,"alive"
"84","PIPO","PIPO03","5.0",715,NA,10,"alive"
"85","PIPO","PIPO03","5.5",NA,NA,25,"alive"
"86","PIPO","PIPO03","6.0",674,NA,25,"alive"
"87","PIPO","PIPO03","6.5",NA,NA,25,"alive"
"88","PIPO","PIPO03","7.0",674,NA,10,"alive"
"89","PIPO","PIPO03","7.5",NA,NA,25,"alive"
"90","PIPO","PIPO03","8.0",565,NA,25,"alive"
"91","PIPO","PIPO03","8.5",NA,NA,25,"alive"
"92","PIPO","PIPO03","9.0",618,NA,25,"alive"
"93","PIPO","PIPO03","9.5",NA,NA,NA,"alive"
"94","PIPO","PIPO04","1.0",687,88,10,"alive"
"95","PIPO","PIPO04","1.5",NA,NA,10,"alive"
"96","PIPO","PIPO04","10.0",333,45.7,75,"dead"
"97","PIPO","PIPO04","10.5",NA,NA,75,"dead"
"98","PIPO","PIPO04","11.0",330,62,90,"dead"
"99","PIPO","PIPO04","11.5",NA,NA,90,"dead"
"100","PIPO","PIPO04","12.0",327,59.8,75,"dead"
"101","PIPO","PIPO04","12.5",NA,NA,90,"dead"
"102","PIPO","PIPO04","13.0",324,36.8,90,"dead"
"103","PIPO","PIPO04","13.5",NA,NA,90,"dead"
"104","PIPO","PIPO04","14.0",NA,NA,NA,"dead"
"105","PIPO","PIPO04","14.5",NA,NA,NA,"dead"
"106","PIPO","PIPO04","15.0",NA,NA,NA,"dead"
"107","PIPO","PIPO04","15.5",NA,NA,NA,"dead"
"108","PIPO","PIPO04","16.0",NA,NA,NA,"dead"
"109","PIPO","PIPO04","2.0",645,205.3,10,"alive"
"110","PIPO","PIPO04","2.5",NA,NA,10,"alive"
"111","PIPO","PIPO04","3.0",595,282.4,10,"alive"
"112","PIPO","PIPO04","3.5",NA,NA,25,"alive"
"113","PIPO","PIPO04","4.0",524,206.9,25,"alive"
"114","PIPO","PIPO04","4.5",NA,NA,25,"alive"
"115","PIPO","PIPO04","5.0",449,248.2,50,"alive"
"116","PIPO","PIPO04","5.5",NA,NA,50,"alive"
"117","PIPO","PIPO04","6.0",418,82,50,"alive"
"118","PIPO","PIPO04","6.5",NA,NA,50,"alive"
"119","PIPO","PIPO04","7.0",385,63.7,25,"alive"
"120","PIPO","PIPO04","7.5",NA,NA,75,"alive"
"121","PIPO","PIPO04","8.0",361,45.4,75,"alive"
"122","PIPO","PIPO04","8.5",NA,NA,75,"alive"
"123","PIPO","PIPO04","9.0",343,49.5,75,"alive"
"124","PIPO","PIPO04","9.5",NA,NA,NA,NA
"125","PIPO","PIPO05","1.0",771,95.5,10,"alive"
"126","PIPO","PIPO05","1.5",NA,NA,10,"alive"
"127","PIPO","PIPO05","10.0",450,NA,90,"dead"
"128","PIPO","PIPO05","10.5",NA,NA,90,"dead"
"129","PIPO","PIPO05","11.0",426,NA,90,"dead"
"130","PIPO","PIPO05","11.5",NA,NA,90,"dead"
"131","PIPO","PIPO05","12.0",412,NA,90,"dead"
"132","PIPO","PIPO05","12.5",NA,NA,90,"dead"
"133","PIPO","PIPO05","13.0",397,NA,90,"dead"
"134","PIPO","PIPO05","13.5",NA,NA,90,"dead"
"135","PIPO","PIPO05","14.0",NA,NA,NA,"dead"
"136","PIPO","PIPO05","14.5",NA,NA,NA,"dead"
"137","PIPO","PIPO05","15.0",NA,NA,NA,"dead"
"138","PIPO","PIPO05","15.5",NA,NA,NA,"dead"
"139","PIPO","PIPO05","16.0",NA,NA,NA,"dead"
"140","PIPO","PIPO05","2.0",743,54.7,10,"alive"
"141","PIPO","PIPO05","2.5",NA,NA,10,"alive"
"142","PIPO","PIPO05","3.0",714,99.6,10,"alive"
"143","PIPO","PIPO05","3.5",NA,NA,10,"alive"
"144","PIPO","PIPO05","4.0",681,96.1,10,"alive"
"145","PIPO","PIPO05","4.5",NA,NA,10,"alive"
"146","PIPO","PIPO05","5.0",636,74.4,10,"alive"
"147","PIPO","PIPO05","5.5",NA,NA,10,"alive"
"148","PIPO","PIPO05","6.0",595,78.7,25,"alive"
"149","PIPO","PIPO05","6.5",NA,NA,75,"alive"
"150","PIPO","PIPO05","7.0",528,72.8,75,"alive"
"151","PIPO","PIPO05","7.5",NA,NA,90,"alive"
"152","PIPO","PIPO05","8.0",495,48.6,90,"alive"
"153","PIPO","PIPO05","8.5",NA,NA,90,"alive"
"154","PIPO","PIPO05","9.0",474,56.7,90,"alive"
"155","PIPO","PIPO05","9.5",NA,NA,NA,NA
"156","PIPO","PIPO06","1.0",740,NA,10,"alive"
"157","PIPO","PIPO06","1.5",NA,NA,10,"alive"
"158","PIPO","PIPO06","10.0",437,NA,90,"dead"
"159","PIPO","PIPO06","10.5",NA,NA,90,"dead"
"160","PIPO","PIPO06","11.0",416,NA,90,"dead"
"161","PIPO","PIPO06","11.5",NA,NA,90,"dead"
"162","PIPO","PIPO06","12.0",400,NA,90,"dead"
"163","PIPO","PIPO06","12.5",NA,NA,90,"dead"
"164","PIPO","PIPO06","13.0",365,NA,90,"dead"
"165","PIPO","PIPO06","13.5",NA,NA,90,"dead"
"166","PIPO","PIPO06","14.0",NA,NA,NA,"dead"
"167","PIPO","PIPO06","14.5",NA,NA,NA,"dead"
"168","PIPO","PIPO06","15.0",NA,NA,NA,"dead"
"169","PIPO","PIPO06","15.5",NA,NA,NA,"dead"
"170","PIPO","PIPO06","16.0",NA,NA,NA,"dead"
"171","PIPO","PIPO06","2.0",717,NA,10,"alive"
"172","PIPO","PIPO06","2.5",NA,NA,10,"alive"
"173","PIPO","PIPO06","3.0",697,NA,10,"alive"
"174","PIPO","PIPO06","3.5",NA,NA,10,"alive"
"175","PIPO","PIPO06","4.0",671,NA,10,"alive"
"176","PIPO","PIPO06","4.5",NA,NA,25,"alive"
"177","PIPO","PIPO06","5.0",645,NA,10,"alive"
"178","PIPO","PIPO06","5.5",NA,NA,50,"alive"
"179","PIPO","PIPO06","6.0",619,NA,75,"alive"
"180","PIPO","PIPO06","6.5",NA,NA,90,"dead"
"181","PIPO","PIPO06","7.0",576,NA,90,"dead"
"182","PIPO","PIPO06","7.5",NA,NA,90,"dead"
"183","PIPO","PIPO06","8.0",496,NA,90,"dead"
"184","PIPO","PIPO06","8.5",NA,NA,90,"dead"
"185","PIPO","PIPO06","9.0",469,NA,90,"dead"
"186","PIPO","PIPO06","9.5",NA,NA,NA,"dead"
"187","PIPO","PIPO07","1.0",784,NA,10,"alive"
"188","PIPO","PIPO07","1.5",NA,NA,10,"alive"
"189","PIPO","PIPO07","10.0",407,NA,75,"dead"
"190","PIPO","PIPO07","10.5",NA,NA,75,"dead"
"191","PIPO","PIPO07","11.0",400,NA,75,"dead"
"192","PIPO","PIPO07","11.5",NA,NA,90,"dead"
"193","PIPO","PIPO07","12.0",398,NA,75,"dead"
"194","PIPO","PIPO07","12.5",NA,NA,90,"dead"
"195","PIPO","PIPO07","13.0",395,NA,75,"dead"
"196","PIPO","PIPO07","13.5",NA,NA,90,"dead"
"197","PIPO","PIPO07","14.0",NA,NA,NA,"dead"
"198","PIPO","PIPO07","14.5",NA,NA,NA,"dead"
"199","PIPO","PIPO07","15.0",NA,NA,NA,"dead"
"200","PIPO","PIPO07","15.5",NA,NA,NA,"dead"
