Species,SpeciesID,Week,Weight_g,Porometer,PercentBrown,Dead
PSME,PSME01,1.0,683,NA,10,alive
PSME,PSME01,1.5,NA,NA,10,alive
PSME,PSME01,10.0,593,NA,10,alive
PSME,PSME01,10.5,NA,NA,10,alive
PSME,PSME01,11.0,639,NA,10,alive
PSME,PSME01,11.5,NA,NA,10,alive
PSME,PSME01,12.0,583,NA,10,alive
PSME,PSME01,12.5,NA,NA,10,alive
PSME,PSME01,13.0,641,NA,10,alive
PSME,PSME01,13.5,NA,NA,10,alive
PSME,PSME01,14.0,585,NA,10,alive
PSME,PSME01,14.5,NA,NA,10,alive
PSME,PSME01,15.0,635,NA,10,alive
PSME,PSME01,15.5,NA,NA,10,alive
PSME,PSME01,16.0,NA,NA,NA,alive
PSME,PSME01,16.5,NA,NA,10,alive
PSME,PSME01,17.0,659,NA,10,alive
PSME,PSME01,17.5,NA,NA,10,alive
PSME,PSME01,18.0,603,NA,10,alive
PSME,PSME01,18.5,NA,NA,10,alive
PSME,PSME01,19.0,642,NA,10,alive
PSME,PSME01,19.5,NA,NA,10,alive
PSME,PSME01,2.0,676,NA,10,alive
PSME,PSME01,2.5,NA,NA,10,alive
PSME,PSME01,20.0,567,NA,10,alive
PSME,PSME01,20.5,NA,NA,10,alive
PSME,PSME01,21.0,636,NA,10,alive
PSME,PSME01,21.5,NA,NA,10,alive
PSME,PSME01,22.0,562,NA,10,alive
PSME,PSME01,22.5,NA,NA,10,alive
PSME,PSME01,23.0,615,NA,10,alive
PSME,PSME01,23.5,NA,NA,10,alive
PSME,PSME01,24.0,554,NA,10,alive
PSME,PSME01,3.0,702,NA,10,alive
PSME,PSME01,3.5,NA,NA,10,alive
PSME,PSME01,4.0,685,NA,10,alive
PSME,PSME01,4.5,NA,NA,10,alive
PSME,PSME01,5.0,709,NA,10,alive
PSME,PSME01,5.5,NA,NA,10,alive
PSME,PSME01,6.0,668,NA,10,alive
PSME,PSME01,6.5,NA,NA,10,alive
PSME,PSME01,7.0,699,NA,10,alive
PSME,PSME01,7.5,NA,NA,NA,alive
PSME,PSME01,8.0,558,NA,10,alive
PSME,PSME01,8.5,NA,NA,10,alive
PSME,PSME01,9.0,646,NA,10,alive
PSME,PSME01,9.5,NA,NA,10,alive
PSME,PSME02,1.0,648,NA,10,alive
PSME,PSME02,1.5,NA,NA,10,alive
PSME,PSME02,10.0,547,NA,10,alive
PSME,PSME02,10.5,NA,NA,10,alive
PSME,PSME02,11.0,608,NA,10,alive
PSME,PSME02,11.5,NA,NA,10,alive
PSME,PSME02,12.0,537,NA,10,alive
PSME,PSME02,12.5,NA,NA,10,alive
PSME,PSME02,13.0,622,NA,10,alive
PSME,PSME02,13.5,NA,NA,10,alive
PSME,PSME02,14.0,554,NA,10,alive
PSME,PSME02,14.5,NA,NA,10,alive
PSME,PSME02,15.0,589,NA,10,alive
PSME,PSME02,15.5,NA,NA,10,alive
PSME,PSME02,16.0,NA,NA,NA,alive
PSME,PSME02,16.5,NA,NA,10,alive
PSME,PSME02,17.0,637,NA,10,alive
PSME,PSME02,17.5,NA,NA,10,alive
PSME,PSME02,18.0,570,NA,10,alive
PSME,PSME02,18.5,NA,NA,10,alive
PSME,PSME02,19.0,644,NA,10,alive
PSME,PSME02,19.5,NA,NA,10,alive
PSME,PSME02,2.0,642,NA,10,alive
PSME,PSME02,2.5,NA,NA,10,alive
PSME,PSME02,20.0,565,NA,10,alive
PSME,PSME02,20.5,NA,NA,10,alive
PSME,PSME02,21.0,627,NA,10,alive
